Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Data References,"Mercury, Unfiltered (ng/L)","Mercury, Unfiltered Data Source","Mercury, Filtered (ng/L)","Mercury, Filtered Data Source","Methylmercury, Unfiltered (ng/L)","Methylmercury, Unfiltered Data Source","Methylmercury, Filtered (ng/L)","Methylmercury, Filtered Data Source"
BR-30,GREENHORN C NR HEADWATERS NR SCOTTS FLAT RES,3.91657E+14,2/21/2002,19:40,Environmental,NP,12.4,CQ,ND,ND,ND,ND,<0.04,W1
BR-34,GREENHORN C .3 MI AB BUCKEYE FORD NR NEVADA CITY,3.91434E+14,1/25/2000,10:45,Environmental,https://doi.org/10.3133/sir20045251,27.1,C2,3.7,C2,<.04,W1,ND,ND
BR-35,GREENHORN C BL GAS CYN NR GRASS VALLEY CA,3.91434E+14,2/21/2002,16:30,Environmental,NP,5.1,CQ,ND,ND,ND,ND,<0.04,W1
BR-39,GREENHORN C .2 MI BL THE NARROWS,3.91329E+14,2/21/2002,15:00,Environmental,NP,21.5,CQ,ND,ND,ND,ND,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,1/25/2000,12:00,Environmental,https://doi.org/10.3133/sir20045251,425,C2,8.9,C2,0.1,W1,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,7/24/2001,11:00,Environmental,https://doi.org/10.3133/sir20045251,5,C2,1.3,C2,<.04,W1,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,8/29/2001,15:00,Environmental,https://doi.org/10.3133/sir20045251,3.9,C2,1.8,C2,0.11,W1,0.05,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,9/14/2001,13:00,Environmental,https://doi.org/10.3133/sir20045251,6.4,C2,2.8,C2,0.07,W1,0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,10/15/2001,12:00,Environmental,https://doi.org/10.3133/sir20045251,1.9,C2,1.1,C2,0.04,W1,<.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,11/20/2001,13:20,Environmental,https://doi.org/10.3133/sir20045251,ND,ND,2,C2,ND,ND,<.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,12-10-01,12:20,Environmental,https://doi.org/10.3133/sir20045251,ND,ND,4.7,C2,ND,ND,<.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,12/21/2001,13:00,Environmental,https://doi.org/10.3133/sir20045251,52,C2,ND,ND,0.08,W1,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,1/22/2002,11:10,Environmental,NP,ND,ND,1.4,C2,ND,ND,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,02-06-02,11:00,Environmental,NP,5.1,C2,1.2,C2,<0.04,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/21/2002,11:00,Environmental,NP,241,CQ,ND,ND,ND,ND,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,03-12-02,13:20,Environmental,NP,49,C2,ND,ND,<0.04,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,04-09-02,14:00,Environmental,NP,6.1,C2,ND,ND,<0.04,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,05-06-02,13:20,Environmental,NP,6.6,C2,1.9,C2,0.06,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,6/17/2002,11:40,Environmental,NP,10,C2,ND,ND,0.06,W1,0.06,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,07-08-02,13:00,Environmental,NP,7.1,C2,1.5,C2,0.07,W1,0.05,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,8/20/2002,13:20,Environmental,NP,3.9,C2,1.5,C2,E0.05,W1,E0.06,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,09-09-02,10:00,Environmental,NP,2.8,C2,1,C2,<0.04,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,10/17/2002,10:10,Environmental,NP,2.3,"C2,W1",E0.8,"C2,W1",<0.04,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,11-12-02,11:00,Environmental,NP,101,"C2,W1",5.3,"C2,W1",0.06,W1,0.07,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,12/18/2002,14:40,Environmental,NP,511,"C2,W1",7,"C2,W1",E0.08,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,1/13/2003,13:20,Environmental,NP,127,"C2,W1",4.7,"C2,W1",0.05,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,02-05-03,13:20,Environmental,NP,5.1,"C2,W1",1.6,"C2,W1",0.05,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/14/2003,14:00,Environmental,NP,122,W1,11,W1,0.12,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/15/2003,9:30,Environmental,NP,2470,W1,18.2,W1,0.5,W1,0.05,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/28/2003,13:50,Environmental,NP,361,W1,3.2,W1,0.09,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,05-12-03,11:30,Environmental,NP,128,W1,2.4,W1,0.07,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,07-01-03,7:50,Environmental,NP,5.9,W1,1.5,W1,0.05,W1,<0.04,W1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,10/14/2003,12:50,Environmental,NP,3,W1,1.4,W1,<0.04,W1,0.06,W1
BR-41,LITTLE GREENHORN C A GREENHORN C,3.91119E+14,2/21/2002,10:50,Environmental,NP,3.7,CQ,ND,ND,ND,ND,<0.04,W1
BR-45,MISSOURI CYN C 1.2 MI AB GREENHORN C NR CHICAGO PK,3.91259E+14,12/14/1999,14:00,Environmental,https://doi.org/10.3133/sir20045251,6.1,C2,2.1,C2,0.07,W1,ND,ND
BR-45,MISSOURI CYN C 1.2 MI AB GREENHORN C NR CHICAGO PK,3.91259E+14,2/21/2002,17:30,Environmental,NP,18.3,CQ,ND,ND,ND,ND,0.12,W1
BR-50,POORE MINE C BL TUNNEL NR GRASS VALLEY CA,3.91343E+14,3/31/1999,13:30,Environmental,https://doi.org/10.3133/sir20045251,4.8,C2,0.8,C2,<.04,W1,ND,ND
BR-50,POORE MINE C BL TUNNEL NR GRASS VALLEY CA,3.91343E+14,2/21/2002,17:20,Environmental,NP,4.3,CQ,ND,ND,ND,ND,0.11,W1
BR-51,POORE MINE PIT LAKE NR GRASS VALLEY CA,3.91354E+14,04-01-99,16:50,Environmental,https://doi.org/10.3133/sir20045251,5.7,C1,0.6,C2,0.11,W1,ND,ND
BR-51,POORE MINE PIT LAKE NR GRASS VALLEY CA,3.91354E+14,5/23/2000,10:45,Environmental,https://doi.org/10.3133/sir20045251,4.3,C2,1.1,C2,0.05,W1,ND,ND
BR-51,POORE MINE PIT LAKE NR GRASS VALLEY CA,3.91354E+14,02-06-02,16:00,Environmental,NP,3.1,C2,E0.7,C2,0.26,W1,0.06,W1
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,3/31/1999,15:20,Environmental,https://doi.org/10.3133/sir20045251,6.2,C2,<.3,C2,<.04,W1,ND,ND
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,12/15/1999,13:30,Environmental,https://doi.org/10.3133/sir20045251,10.5,C2,1.8,C2,<.04,W1,ND,ND
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,5/23/2000,12:00,Environmental,https://doi.org/10.3133/sir20045251,57.6,C2,ND,ND,0.88,W1,ND,ND
