Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Water Temperature (degrees Celsius),pH,Specific conductance (microsiemens/cm,Dissolved oxygen (mg/L),"Discharge, instantaneous, cubic feet per second",Barometric pressure (millimeters of mercury),"Dissolved oxygen, water, unfiltered, percent of saturation",Suspended sediment concentration (mg/L),"Suspended sediment, percentage finer than 0.063 mm"
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,5/7/1999,9:30,Environmental,ND,6.1,354,ND,ND,ND,ND,114,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,5/27/1999,10:30,Environmental,12,6.4,517,ND,ND,ND,ND,ND,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,2/13/2001,10:20,Environmental,ND,7.9,735,ND,ND,ND,ND,29,ND
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,11/6/2001,10:30,Environmental,8.5,7.6,67,ND,ND,ND,10,<1,50
BR-78,POLAR STAR MINE TUNNEL DISCHARGE NR DUTCH FLAT CA,3.91247E+14,12/21/2001,9:00,Environmental,7,5.7,350,10.3,ND,ND,100,2,94
BR-79,POLAR STAR MINE BORROW PIT NR DUTCH FLAT CA,3.9125E+14,8/3/2000,15:30,Environmental,ND,3,ND,ND,ND,ND,ND,ND,ND
BR-80,NF STEEPHOLLOW C NR BLUE CYN CA,3.91642E+14,7/1/1999,10:00,Environmental,ND,7,63,ND,ND,ND,ND,ND,ND
BR-81,REMINGTON HILL MINE MAIN DISCHARGE NR BLUE CYN CA,3.91643E+14,7/1/1999,9:30,Environmental,ND,6.7,90,ND,ND,ND,ND,ND,ND
BR-82,SE TRIB TO ROLLINS RES NR COLFAX CA,3.90815E+14,12/21/2001,7:30,Environmental,7.5,6.7,106,9.6,ND,706,86,ND,ND
BR-83,POORMAN C AB ROLLINS RES A YOU BET RD NR COLFAX CA,3.90951E+14,12/21/2001,14:30,Environmental,7.5,6.5,ND,9.3,ND,703,ND,ND,ND
BR-84,S TRIB TO ROLLINS RES NR COLFAX CA,3.90753E+14,12/21/2001,8:00,Environmental,8.5,6.6,89,8.9,ND,ND,ND,ND,ND
BR-85,BEAR R BL STEEPHOLLOW C NR CHICAGO PARK CA,3.91023E+14,1/26/2000,13:00,Environmental,8,6.8,55,ND,ND,ND,ND,ND,ND
BR-86,NW TRIB TO ROLLINS RES NR BEAR RIVER PINES CA,3.91006E+14,12/21/2001,12:30,Environmental,7,7,86,10,ND,ND,ND,ND,ND
BR-89,SOUTHERN CROSS MINE TUNNEL MIDWAY NR DUTCH FLAT CA,3.91237E+14,5/27/1999,15:00,Environmental,13,6.1,384,ND,ND,ND,ND,ND,ND
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,3.91146E+14,1/26/2000,10:00,Environmental,8,6.8,52,ND,ND,ND,ND,ND,ND
BR-93,STUMP CYN C NE NR DUTCH FLAT CA,3.91351E+14,2/16/2000,12:45,Environmental,7,6.1,33,ND,ND,ND,ND,ND,ND
BR-94,STUMP CYN C NW NR DUTCH FLAT CA,3.9135E+14,2/16/2000,13:45,Environmental,7,6.9,26,ND,ND,ND,ND,ND,ND
BR-95,YOU BET MINE OUTLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91215E+14,5/6/1999,12:30,Environmental,ND,3.7,478,ND,ND,ND,ND,ND,ND
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,3.91223E+14,5/6/1999,15:00,Environmental,ND,3.5,525,ND,ND,ND,ND,ND,ND
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,5/5/1999,14:30,Environmental,ND,4.5,173,ND,ND,ND,ND,ND,ND
BR-100,YOU BET SOUTH WEST-3 TUNNEL NR GOLD RUN CA,3.91147E+14,2/6/2002,10:30,Environmental,12,5.9,252,4.6,ND,ND,ND,ND,ND
BR-101,WALLOUPA MINE SOUTH DRAINAGE TUNNEL NR GOLD RUN CA,3.91132E+14,2/6/2002,12:30,Environmental,7.9,7.5,120,11.5,ND,ND,ND,ND,ND
BR-102,WALLOUPA MINE EAST DRAINAGE TUNNEL NR GOLD RUN CA,3.91144E+14,5/5/1999,15:20,Environmental,10,6.4,168,10,ND,ND,ND,ND,ND
DC-02,DEER C AB SCOTTS FLAT RES NR NEVADA CITY CA,3.91731E+14,1/27/2000,10:00,Environmental,6,6.8,32,ND,ND,ND,ND,3,59
DC-03,DEER C BL SCOTTS FLAT RES NR NEVADA CITY CA,3.91617E+14,1/27/2000,13:30,Environmental,ND,6.6,36,ND,ND,ND,ND,6,83
DC-05,DEER C BL DEER C FALLS NR ROUGH AND READY CA,3.9144E+14,8/24/2000,10:00,Environmental,17,ND,ND,ND,ND,ND,ND,ND,ND
DC-08,UNNAMED TRIB TO DEER C A SCOTTS FLAT RES BL CASCI,3.91728E+14,1/27/2000,11:00,Environmental,7,6.8,56,ND,ND,ND,ND,4,81
LY-04,YUBA R NR SMARTSVILLE CA,11419600,12/11/2002,11:00,Environmental,10,7.6,78,7.3,ND,763,65,2,71
LY-05,YUBA R A DAQUERRA PT NR BROWNS VALLEY CA,11420800,8/28/2001,15:00,Environmental,18,ND,ND,ND,ND,ND,ND,ND,ND
LY-05,YUBA R A DAQUERRA PT NR BROWNS VALLEY CA,11420800,12/10/2002,11:40,Environmental,11,7.7,79,7.7,ND,762,70,ND,ND
LY-08,YUBA R A MARYSVILLE CA,11421500,12/11/2002,10:00,Environmental,ND,ND,ND,ND,ND,ND,ND,1,83
