Station Map ID,USGS Station Name,USGS Station Number,Date,Time,Sample Type,Delta-18O SO4 (per mil VSMOW),Delta-34S SO4 (per mil CDT),Delta-18O H2O (per mil VSMOW),Delta-D H2O (per mil VSMOW),"Nitrogen, ammonia, filtered (mg/L)","Nigrogen, ammonia plus organic, filtered (mg/L)","Nitrogen, ammonia plus organic, unfiltered (mg/L)","Nitrogen, nitrite plus nitrate, filtered (mg/L)","Nitrogen, nitrite, filtered (mg/L)","Total nitrogen, particulate (mg/L)","Total phosphorus, filtered (mg/L)","Phosphorous, orthophosphate, filtered (mg/)","Total phosphorus, unfiltered (mg/L)","Carbon, inorganic plus organic, particulate (mg/L)","Carbon, organic, filtered (mg/L)","Carbon, organic, particulate (mg/L)","Alkalinity, laboratory (mg/L as CaCO3)",Chloride (mg/L),Sulfate (mg/L)
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,2/5/2003,13:21,Laboratory Replicate,-0.6,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/14/2003,14:00,Environmental,-0.2,-7.2,ND,ND,<.04,E.09,0.21,0.09,E.007,<.02,0.011,<.02,0.094,<.1,2.3,<.12,13,1.6,8.4
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/14/2003,14:01,Laboratory Replicate,0.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,3/15/2003,9:30,Environmental,0.5,-8.7,ND,ND,<.04,0.11,0.75,0.09,<.008,0.84,E.003,<.02,0.83,12.4,3.9,11.6,5,0.94,5.1
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/28/2003,13:50,Environmental,ND,ND,ND,ND,<.04,<.10,0.14,E.05,<.008,0.1,0.007,<.02,0.187,1.1,1.1,0.8,20,1.2,5.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,4/28/2003,13:52,Field Replicate,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,20,1.2,5.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,5/12/2003,11:30,Environmental,ND,ND,ND,ND,<.04,<.10,<.10,<.06,<.008,<.02,0.004,<.02,0.098,0.2,0.9,<.12,12,1.2,6.6
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,7/1/2003,7:50,Environmental,ND,ND,ND,ND,<.04,E.06,E.06,<.06,<.008,<.02,<.004,<.02,0.008,<.1,0.6,<.12,12,4.1,3.9
BR-40,GREENHORN C A YOU BET RD BRDG NR NEVADA CITY CA,3.91116E+14,10/14/2003,12:50,Environmental,ND,ND,ND,ND,<.04,<.10,E.06,<.06,<.008,<.02,E.003,<.02,E.002,<.1,1,<.12,15,1.6,12
BR-41,LITTLE GREENHORN C A GREENHORN C,3.91119E+14,2/21/2002,10:50,Environmental,ND,ND,ND,ND,<.04,E.05,0.7,0.19,<.008,ND,E.003,<.02,0.009,ND,1.3,0.2,ND,2,4.2
BR-45,MISSOURI CYN C 1.2 MI AB GREENHORN C NR CHICAGO PK,3.91259E+14,2/21/2002,17:30,Environmental,-1.2,-11.3,-10,-71.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.92,29
BR-45,MISSOURI CYN C 1.2 MI AB GREENHORN C NR CHICAGO PK,3.91259E+14,2/21/2002,17:31,Laboratory Replicate,ND,ND,ND,-71,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-50,POORE MINE C BL TUNNEL NR GRASS VALLEY CA,3.91343E+14,2/21/2002,17:20,Environmental,0.3,-12.5,-10.1,-69,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,1.3,5.8
BR-51,POORE MINE PIT LAKE NR GRASS VALLEY CA,3.91354E+14,2/6/2002,16:00,Environmental,-3.9,20,-10.6,-73.6,<.04,<.10,0.12,<.05,<.008,ND,E.002,<.02,0.011,ND,1.3,0.3,ND,0.68,54
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,2/21/2002,17:00,Environmental,-2.5,-6.7,-9.9,-69.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,0.7,44
BR-52,POORE MINE TUNNEL EFFLUENT NR GRASS VALLEY CA,3.91347E+14,2/21/2002,17:01,Laboratory Replicate,-2.2,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-57,HUNTS HILL DRAIN .03 MI AB GREENHORN C,3.91417E+14,2/21/2002,14:30,Environmental,-1.1,-6.6,-9.8,-66.4,<.04,<.10,E.05,<.05,<.008,ND,E.003,<.02,0.005,ND,1.2,<.2,ND,1.1,12
BR-57,HUNTS HILL DRAIN .03 MI AB GREENHORN C,3.91417E+14,2/21/2002,14:31,Laboratory Replicate,ND,ND,-9.8,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-58,GAS CANYON CR .05 MI AB GREENHORN C,3.91437E+14,2/21/2002,16:00,Environmental,-3.7,-3.8,-10.2,-68.7,<.04,<.10,E.06,E.03,<.008,ND,<.004,<.02,0.02,ND,0.6,0.5,ND,1.4,32
BR-58,GAS CANYON CR .05 MI AB GREENHORN C,3.91437E+14,2/21/2002,16:01,Laboratory Replicate,-3.7,ND,-10.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
BR-62,SF GREENHORN C BLW BOSTON MINE NR NEVADA CITY CA,3.91351E+14,12/21/2001,12:40,Environmental,ND,-11.5,-10.5,-74.1,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND,ND
