Station Map ID,USGS Station Name,USGS Station Number,Date ,Time,Sample Type,Data References,"Total Mercury, Dry (ng/g)",Total Mercury Data Source,"Methylmercury, Dry (ng/g)",Methylmercury Data Source,Loss On Ignition (percent)
BR-91,STEEPHOLLOW C A LOWELL HILL BRDG NR NEVADA CITY CA,391146120530601,06/19/2001,9:00,Environmental,NP,62.4,W1,0.18,W1,1.63
BR-92,RJ MILES MINE PIT NR CHICAGO PARK CA,391037120534501,01/26/2000,13:10,Environmental,NP,396,W1,0,0,4.76
BR-95,YOU BET MINE OUTLET TO MAIN DRAIN TNNL NR GOLD RUN,391215120532301,05/06/1999,12:30,Environmental,NP,50.0,C1,0.05,W1,3.23
BR-96,YOU BET MINE INLET TO MAIN DRAIN TNNL NR GOLD RUN,391223120532501,05/06/1999,15:00,Environmental,NP,10.0,C1,<0.04,W1,2.45
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,391144120535301,05/05/1999,14:30,Environmental,NP,530,C1,<0.81,W1,15.2
BR-99,YOU BET MINE SW DRAINAGE TUNNEL NR GOLD RUN CA,391144120535301,05/05/1999,14:30,Environmental,NP,550,C1,0,0,0
BR-100,YOU BET SOUTH WEST-3 TUNNEL NR GOLD RUN CA,391147120535401,02/06/2002,10:30,Environmental,NP,152,W1,0.45,W1,10.7
BR-101,WALLOUPA MINE SOUTH DRAINAGE TUNNEL NR GOLD RUN CA,391132120540801,02/06/2002,12:30,Environmental,NP,"2,570",W1,0.81,W1,25.0
BR-102,WALLOUPA MINE EAST DRAINAGE TUNNEL NR GOLD RUN CA,391144120542301,05/05/1999,15:20,Environmental,NP,"3,000",C1,0,0,12.6
DC-08,UNNAMED TRIB TO DEER C A SCOTTS FLAT RES BL CASCI,391728120540101,01/27/2000,11:30,Environmental,NP,170,W1,0,0,14.6
